?cls	?xref
<http://purl.obolibrary.org/obo/NCBITaxon_33154>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"PMID:30257078"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"PMID:23020233"
<http://purl.obolibrary.org/obo/ExO_0000102>	"https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=16.07d&code=C25150&ns=null&type=properties&key=null&b=1&n=0&vse=null"
<http://purl.obolibrary.org/obo/ENVO_00002000>	"SWEETRealm:Slope"
<http://purl.obolibrary.org/obo/ENVO_00002000>	"https://en.wikipedia.org/wiki/Slope"
<http://purl.obolibrary.org/obo/ENVO_00002000>	"EcoLexicon:slope"
<http://purl.obolibrary.org/obo/ENVO_00010504>	"https://en.wikipedia.org/wiki/Surface"
<http://purl.obolibrary.org/obo/ENVO_00010504>	"http://sweetontology.net/reprSpaceGeometry/Surface"
<http://purl.obolibrary.org/obo/ENVO_00010504>	"EcoLexicon:surface"
<http://purl.obolibrary.org/obo/ENVO_00000015>	"TGN:21102"
<http://purl.obolibrary.org/obo/ENVO_00000015>	"EcoLexicon:ocean"
<http://purl.obolibrary.org/obo/ENVO_00000015>	"FTT:1019"
<http://purl.obolibrary.org/obo/ENVO_00000015>	"SWEETRealm:Ocean"
<http://purl.obolibrary.org/obo/ENVO_00000015>	"LTER:695"
<http://purl.obolibrary.org/obo/ENVO_00000015>	"https://en.wikipedia.org/wiki/Ocean"
<http://purl.obolibrary.org/obo/ENVO_00000015>	"FTT:943"
<http://purl.obolibrary.org/obo/ENVO_00000015>	"Geonames:H.OCN"
<http://purl.obolibrary.org/obo/ENVO_00002006>	"EcoLexicon:water"
<http://purl.obolibrary.org/obo/ENVO_00002006>	"https://en.wikipedia.org/wiki/Water"
<http://purl.obolibrary.org/obo/ENVO_00002006>	"LTER:617"
<http://purl.obolibrary.org/obo/ENVO_01000020>	"SPIRE:Estuarine"
<http://purl.obolibrary.org/obo/ENVO_01001618>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/ENVO_01001620>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/PO_0025007>	"PO_GIT:63"
<http://purl.obolibrary.org/obo/ENVO_01000254>	"EcoLexicon:environment"
<http://purl.obolibrary.org/obo/PO_0025433>	"PO_GIT:427"
<http://purl.obolibrary.org/obo/ENVO_01000204>	"SPIRE:Tropical"
<http://purl.obolibrary.org/obo/ENVO_01000204>	"EcoLexicon:the_tropics"
<http://purl.obolibrary.org/obo/PO_0025034>	"PO_GIT:274"
<http://purl.obolibrary.org/obo/PO_0025034>	"PO_GIT:301"
<http://purl.obolibrary.org/obo/ENVO_00002186>	"EcoLexicon:water_pollution"
<http://purl.obolibrary.org/obo/ENVO_00002186>	"https://en.wikipedia.org/wiki/Contaminated_water"
<http://purl.obolibrary.org/obo/PO_0009007>	"PO_GIT:59"
<http://purl.obolibrary.org/obo/ENVO_00002149>	"EcoLexicon:sea_water"
<http://purl.obolibrary.org/obo/ENVO_00002149>	"https://en.wikipedia.org/wiki/Sea_water"
<http://purl.obolibrary.org/obo/ENVO_00002149>	"LTER:701"
<http://purl.obolibrary.org/obo/ENVO_00002149>	"SWEETRealm:SeaWater"
<http://purl.obolibrary.org/obo/PO_0028002>	"PO_GIT:68"
<http://purl.obolibrary.org/obo/PO_0028002>	"PO_GIT:139"
<http://purl.obolibrary.org/obo/ENVO_01000267>	"LTER:48"
<http://purl.obolibrary.org/obo/ENVO_01000293>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/PO_0025606>	"PO_GIT:586"
<http://purl.obolibrary.org/obo/ENVO_01001645>	<http://vocab.nerc.ac.uk/collection/S23/current/S23C013/>
<http://purl.obolibrary.org/obo/ENVO_01000238>	"SPIRE:Polar"
<http://purl.obolibrary.org/obo/ENVO_01000238>	"SWEETRealm:Polarization"
<http://purl.obolibrary.org/obo/ENVO_01001089>	"SWEETRealm:Aerosol"
<http://purl.obolibrary.org/obo/ENVO_01000067>	"EcoLexicon:marine_current"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"TGN:21652"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"SWEETRealm:Scrub"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"FTT:262"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"FTT:792"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"FTT:991"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"Geonames:V.SCRB"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"TGN:21644"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"FTT:374"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"FTT:473"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"FTT:1191"
<http://purl.obolibrary.org/obo/ENVO_00000300>	"https://en.wikipedia.org/wiki/Scrubland"
<http://purl.obolibrary.org/obo/ENVO_01001652>	<http://vocab.nerc.ac.uk/collection/S23/current/S23C005/>
<http://purl.obolibrary.org/obo/ENVO_01000178>	"SPIRE:Savannah_or_grassland"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"TGN:21301"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1207"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"TGN:21305"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"LTER:630"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:281"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:934"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:945"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"SWEETRealm:Wetland"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:184"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:883"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1060"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"SPIRE:Bog"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:716"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:480"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1001"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1226"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1206"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:983"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:185"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1061"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"https://en.wikipedia.org/wiki/Wetland"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"TGN:21304"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:228"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"Geonames:H.WTLD"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1190"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"EcoLexicon:wetland"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1118"
<http://purl.obolibrary.org/obo/ENVO_01001209>	"FTT:1180"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"EcoLexicon:mine"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"Geonames:S.MN"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"TGN:54211"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"Geonames:L.MNA"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"FTT:968"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"FTT:14"
<http://purl.obolibrary.org/obo/ENVO_00000076>	"TGN:54212"
